x,y
25,656
39,602
57,553
77,513
99,467
133,418
159,380
194,340
229,304
266,275
312,252
356,231
399,219
446,209
485,204
524,207
568,210
614,223
659,237
704,262
741,292
785,329
825,369
864,414
891,466
916,516
948,559
966,625
